SG, 24, NYK, 19, 0, 464, 100, 229, .437, 39, 106, .368, 61, 123, .496, .522, 53, 60, .883, 4, 55, 59, 54, 9, 2, 22, 31, 292, 
SG, 23, GSW, 2, 0, 9, 2, 6, .333, 1, 4, .250, 1, 2, .500, .417, 0, 0, , 0, 0, 0, 0, 0, 0, 1, 1, 5, 
PF, 29, NYK, 19, 19, 664, 136, 330, .412, 31, 111, .279, 105, 219, .479, .459, 85, 121, .702, 40, 153, 193, 105, 14, 3, 60, 49, 388, 
C, 27, POR, 11, 1, 153, 27, 65, .415, 15, 42, .357, 12, 23, .522, .531, 9, 10, .900, 7, 13, 20, 12, 5, 3, 8, 17, 78, 
SG, 25, LAL, 21, 8, 620, 100, 215, .465, 26, 83, .313, 74, 132, .561, .526, 62, 73, .849, 19, 79, 98, 99, 22, 2, 50, 31, 288, 
SF, 24, LAL, 17, 10, 403, 42, 100, .420, 15, 47, .319, 27, 53, .509, .495, 23, 28, .821, 8, 38, 46, 19, 25, 5, 10, 28, 122, 
C, 24, PHI, 19, 1, 280, 47, 79, .595, 4, 9, .444, 43, 70, .614, .620, 6, 8, .750, 34, 49, 83, 20, 10, 12, 16, 40, 104, 
C, 24, MIN, 19, 0, 406, 89, 173, .514, 32, 80, .400, 57, 93, .613, .607, 29, 32, .906, 18, 58, 76, 13, 14, 11, 21, 28, 239, 
SG, 24, DET, 5, 0, 30, 5, 9, .556, 1, 4, .250, 4, 5, .800, .611, 2, 2, 1.000, 1, 3, 4, 3, 0, 0, 2, 4, 13, 
C, 26, CHO, 12, 0, 201, 34, 45, .756, 0, 0, , 34, 45, .756, .756, 29, 36, .806, 18, 50, 68, 5, 5, 14, 13, 33, 97, 
SG, 30, MIA, 17, 4, 470, 67, 145, .462, 21, 71, .296, 46, 74, .622, .534, 24, 27, .889, 9, 36, 45, 53, 10, 5, 20, 30, 179, 
SF, 29, MIA, 18, 10, 532, 94, 192, .490, 55, 123, .447, 39, 69, .565, .633, 21, 25, .840, 5, 41, 46, 49, 6, 3, 18, 46, 264, 
SG, 26, GSW, 1, 0, 5, 0, 2, .000, 0, 0, , 0, 2, .000, .000, 0, 0, , 1, 1, 2, 0, 0, 0, 0, 0, 0, 
C, 25, NYK, 19, 19, 567, 52, 90, .578, 0, 0, , 52, 90, .578, .578, 14, 36, .389, 106, 98, 204, 10, 29, 26, 18, 36, 118, 
C, 23, MIA, 6, 1, 96, 18, 31, .581, 4, 4, 1.000, 14, 27, .519, .645, 3, 4, .750, 7, 17, 24, 12, 2, 3, 6, 11, 43, 
PF, 23, NOP, 8, 1, 98, 13, 25, .520, 6, 11, .545, 7, 14, .500, .640, 6, 6, 1.000, 8, 14, 22, 5, 2, 0, 6, 9, 38, 
PF, 22, MEM, 19, 4, 451, 64, 148, .432, 19, 62, .306, 45, 86, .523, .497, 12, 17, .706, 20, 59, 79, 21, 12, 8, 17, 31, 159, 
PG, 21, WAS, 8, 0, 49, 9, 18, .500, 1, 2, .500, 8, 16, .500, .528, 13, 16, .813, 2, 8, 10, 10, 8, 2, 7, 6, 32, 
PG, 35, MEM, 10, 2, 190, 39, 83, .470, 8, 21, .381, 31, 62, .500, .518, 11, 13, .846, 6, 14, 20, 31, 5, 1, 12, 11, 97, 
SG, 29, CHO, 9, 9, 324, 77, 166, .464, 20, 54, .370, 57, 112, .509, .524, 29, 36, .806, 5, 28, 33, 59, 9, 3, 23, 13, 203, 
SG, 19, POR, 7, 0, 31, 1, 12, .083, 1, 6, .167, 0, 6, .000, .125, 2, 4, .500, 1, 0, 1, 2, 2, 0, 2, 1, 5, 
PG, 27, LAL, 21, 21, 649, 135, 277, .487, 47, 115, .409, 88, 162, .543, .572, 43, 55, .782, 8, 63, 71, 138, 17, 12, 38, 42, 360, 
SF, 26, NOP, 13, 1, 298, 38, 83, .458, 32, 68, .471, 6, 15, .400, .651, 13, 14, .929, 5, 25, 30, 14, 5, 1, 16, 24, 121, 
C, 27, SAC, 18, 18, 631, 128, 224, .571, 10, 24, .417, 118, 200, .590, .594, 69, 106, .651, 60, 153, 213, 125, 15, 15, 55, 65, 335, 
PF, 24, UTA, 9, 0, 55, 9, 24, .375, 3, 11, .273, 6, 13, .462, .438, 1, 1, 1.000, 3, 13, 16, 2, 1, 2, 4, 5, 22, 
SF, 25, HOU, 5, 0, 29, 2, 4, .500, 0, 2, .000, 2, 2, 1.000, .500, 2, 2, 1.000, 1, 6, 7, 2, 0, 1, 0, 3, 6, 
PF, 21, GSW, 2, 0, 12, 2, 4, .500, 0, 1, .000, 2, 3, .667, .500, 0, 0, , 2, 2, 4, 1, 0, 0, 2, 2, 4, 
C, 29, GSW, 20, 4, 433, 74, 163, .454, 32, 85, .376, 42, 78, .538, .552, 32, 38, .842, 30, 87, 117, 49, 14, 6, 21, 47, 212, 
C, 24, OKC, 5, 0, 54, 3, 6, .500, 2, 3, .667, 1, 3, .333, .667, 4, 6, .667, 4, 16, 20, 1, 0, 5, 2, 10, 12, 
PG, 23, DET, 20, 0, 371, 65, 141, .461, 27, 68, .397, 38, 73, .521, .557, 9, 9, 1.000, 3, 36, 39, 57, 14, 3, 16, 30, 166, 
PF, 26, ORL, 5, 0, 18, 2, 7, .286, 1, 6, .167, 1, 1, 1.000, .357, 0, 2, .000, 0, 1, 1, 1, 0, 0, 1, 2, 5, 
PG, 30, TOR, 20, 20, 632, 113, 260, .435, 36, 102, .353, 77, 158, .487, .504, 55, 64, .859, 10, 50, 60, 140, 18, 2, 35, 39, 317, 
SG, 23, NOP, 5, 0, 52, 4, 13, .308, 1, 2, .500, 3, 11, .273, .346, 5, 6, .833, 1, 6, 7, 4, 2, 1, 0, 4, 14, 
C, 21, HOU, 17, 17, 556, 147, 272, .540, 15, 47, .319, 132, 225, .587, .568, 48, 71, .676, 45, 111, 156, 94, 16, 13, 43, 53, 357, 
SF, 20, UTA, 1, 0, 2, 0, 2, .000, 0, 0, , 0, 2, .000, .000, 0, 0, , 1, 1, 2, 0, 0, 0, 0, 0, 0, 
SG, 25, UTA, 20, 0, 414, 85, 188, .452, 23, 68, .338, 62, 120, .517, .513, 58, 66, .879, 18, 34, 52, 64, 8, 4, 41, 34, 251, 
SG, 26, WAS, 15, 0, 253, 48, 101, .475, 24, 60, .400, 24, 41, .585, .594, 5, 11, .455, 2, 19, 21, 22, 9, 2, 9, 31, 125, 
